name,year,imdb,metascore,votes,n_imdb
Gladiator,2000,8.5,67,1111808,85.0
Memento,2000,8.5,80,955770,85.0
Snatch,2000,8.3,55,670867,83.0
Requiem for a Dream,2000,8.3,68,648968,83.0
X-Men,2000,7.4,64,503073,74.0
Cast Away,2000,7.8,73,441404,78.0
American Psycho,2000,7.6,64,400628,76.0
Unbreakable,2000,7.2,62,288723,72.0
Meet the Parents,2000,7.0,73,280205,70.0
Mission: Impossible II,2000,6.1,59,265806,61.0
"O Brother, Where Art Thou?",2000,7.8,69,247232,78.0
Gone in Sixty Seconds,2000,6.5,35,234693,65.0
Wo hu cang long,2000,7.9,93,231134,79.0
The Patriot,2000,7.2,63,225782,72.0
Almost Famous,2000,7.9,90,224052,79.0
Pitch Black,2000,7.1,49,206155,71.0
Scary Movie,2000,6.2,48,203416,62.0
"Me, Myself & Irene",2000,6.6,49,200130,66.0
Final Destination,2000,6.7,36,198610,67.0
The Beach,2000,6.6,43,195841,66.0
Amores perros,2000,8.1,83,192457,81.0
Traffic,2000,7.6,86,179790,76.0
Remember the Titans,2000,7.8,48,175171,78.0
What Women Want,2000,6.4,47,172226,64.0
How the Grinch Stole Christmas,2000,6.1,46,164465,61.0
Chocolat,2000,7.3,64,161296,73.0
Charlie's Angels,2000,5.5,52,155363,55.0
Miss Congeniality,2000,6.2,43,155157,62.0
Chicken Run,2000,7.0,88,154004,70.0
High Fidelity,2000,7.5,79,152578,75.0
Batoru rowaiaru,2000,7.7,81,150756,77.0
Erin Brockovich,2000,7.3,73,148721,73.0
The Emperor's New Groove,2000,7.3,70,146079,73.0
Road Trip,2000,6.5,55,142533,65.0
The Perfect Storm,2000,6.4,59,141195,64.0
"Dude, Where's My Car?",2000,5.5,30,123732,55.0
Hollow Man,2000,5.7,24,109460,57.0
Scream 3,2000,5.5,56,107452,55.0
Billy Elliot,2000,7.7,74,106493,77.0
The 6th Day,2000,5.9,49,106255,59.0
Shanghai Noon,2000,6.6,77,105506,66.0
What Lies Beneath,2000,6.6,51,105155,66.0
Pay It Forward,2000,7.2,40,103105,72.0
The Whole Nine Yards,2000,6.7,47,97512,67.0
Coyote Ugly,2000,5.6,27,96736,56.0
Men of Honor,2000,7.2,56,96467,72.0
The Family Man,2000,6.7,42,92553,67.0
Faa yeung nin wa,2000,8.1,85,91209,81.0
Frequency,2000,7.4,67,89527,74.0
Bedazzled,2000,6.0,49,87405,60.0
Dancer in the Dark,2000,8.0,61,87260,80.0
Little Nicky,2000,5.3,38,86840,53.0
The Cell,2000,6.3,40,85588,63.0
Finding Forrester,2000,7.3,62,76512,73.0
Bring It On,2000,6.0,52,76301,60.0
Malèna,2000,7.5,54,73709,75.0
Big Momma's House,2000,5.1,33,72339,51.0
U-571,2000,6.6,62,69644,66.0
Battlefield Earth,2000,2.4,9,69173,24.0
The Road to El Dorado,2000,6.9,51,68191,69.0
Space Cowboys,2000,6.4,73,64910,64.0
Mission to Mars,2000,5.6,34,64448,56.0
Shaft,2000,5.9,50,62480,59.0
Romeo Must Die,2000,6.1,52,60665,61.0
Wonder Boys,2000,7.4,73,57103,74.0
The Gift,2000,6.7,62,56074,67.0
Titan A.E.,2000,6.6,48,54629,66.0
Vertical Limit,2000,5.9,48,52985,59.0
Les rivières pourpres,2000,6.9,49,52132,69.0
The Replacements,2000,6.5,30,51834,65.0
Proof of Life,2000,6.2,45,51512,62.0
Red Planet,2000,5.7,34,50597,57.0
Best in Show,2000,7.5,78,49136,75.0
The Legend of Bagger Vance,2000,6.7,47,48667,67.0
Thirteen Days,2000,7.3,67,48454,73.0
Quills,2000,7.3,70,47382,73.0
Sexy Beast,2000,7.3,79,47180,73.0
Keeping the Faith,2000,6.4,60,46719,64.0
Boiler Room,2000,7.0,63,44511,70.0
Dinosaur,2000,6.5,56,43455,65.0
Nueve reinas,2000,7.9,80,42781,79.0
Nutty Professor II: The Klumps,2000,4.4,38,42682,44.0
Rules of Engagement,2000,6.4,45,39988,64.0
28 Days,2000,6.0,46,37806,60.0
The Kid,2000,6.1,45,36622,61.0
Shadow of the Vampire,2000,6.9,71,36224,69.0
Ginger Snaps,2000,6.8,70,36026,68.0
Tigerland,2000,7.0,55,35134,70.0
Reindeer Games,2000,5.7,37,33683,57.0
Small Time Crooks,2000,6.7,69,33390,67.0
Chopper,2000,7.2,65,33356,72.0
Book of Shadows: Blair Witch 2,2000,4.0,15,32112,40.0
Nurse Betty,2000,6.2,69,31126,62.0
Next Friday,2000,6.1,41,30943,61.0
102 Dalmatians,2000,4.9,35,29372,49.0
Get Carter,2000,5.1,24,29321,51.0
Dracula 2000,2000,4.9,26,29098,49.0
Dungeons & Dragons,2000,3.7,14,29026,37.0
Where the Heart Is,2000,6.8,30,28944,68.0
The Way of the Gun,2000,6.7,49,28926,67.0
The Skulls,2000,5.6,24,28493,56.0
The Art of War,2000,5.7,30,26468,57.0
Vampire Hunter D: Bloodlust,2000,7.7,62,25051,77.0
You Can Count on Me,2000,7.7,85,24856,77.0
Pollock,2000,7.0,77,24549,70.0
Loser,2000,5.3,35,24270,53.0
The Watcher,2000,5.3,22,23394,53.0
Before Night Falls,2000,7.3,85,22023,73.0
Autumn in New York,2000,5.5,24,21993,55.0
Gongdong gyeongbi guyeok JSA,2000,7.9,58,21545,79.0
The Contender,2000,7.0,59,21395,70.0
Brother,2000,7.2,47,19867,72.0
Under Suspicion,2000,6.5,43,19613,65.0
The Million Dollar Hotel,2000,5.9,25,19349,59.0
State and Main,2000,6.8,75,19036,68.0
Tillsammans,2000,7.5,84,18696,75.0
Bounce,2000,5.7,52,18541,57.0
Im Juli,2000,7.8,71,18264,78.0
My Dog Skip,2000,7.0,61,17679,70.0
The Adventures of Rocky & Bullwinkle,2000,4.2,36,17637,42.0
Highlander: Endgame,2000,4.6,21,17502,46.0
Return to Me,2000,6.9,54,17456,69.0
The Yards,2000,6.4,58,17447,64.0
The Flintstones in Viva Rock Vegas,2000,3.6,27,17284,36.0
Center Stage,2000,6.7,52,16794,67.0
Blinkende lygter,2000,7.7,47,16415,77.0
Dr. T & the Women,2000,4.6,64,16350,46.0
Saving Grace,2000,6.9,62,16231,69.0
Love & Basketball,2000,7.2,70,15746,72.0
Supernova,2000,4.8,19,15602,48.0
Baise-moi,2000,4.5,35,15423,45.0
Yi yi,2000,8.1,93,15171,81.0
Boys and Girls,2000,5.4,29,14590,54.0
The Tigger Movie,2000,6.3,53,14534,63.0
Sånger från andra våningen,2000,7.7,76,14518,77.0
Urban Legends: Final Cut,2000,4.2,16,14044,42.0
The Dish,2000,7.2,74,13637,72.0
